コメント,メンバー,ハッシュタグ
その葛藤も人生じゃないかな,#斎藤飛鳥,#乃木坂46 #名言
大事なことはアイドルに頼むな！,#斎藤飛鳥,#乃木坂46 #名言
どうせお前らクリスマス過ごす相手いねぇだろ！,#斎藤飛鳥,#乃木坂46 #名言
「これが乃木坂46です！どーん！」ってしていなくては。我々がちゃんと立っていなくては、皆さんも戸惑ってしまいますよね。我々は見てくださる皆さんの為に、どーん！と立つのです,#斎藤飛鳥,#乃木坂46 #名言
中学生の頃に見てきた乃木坂のすてきなところって、お姉さんメンバーが無邪気でいるところだったから,#斎藤飛鳥,#乃木坂46 #名言
今自分が大人になって「明るくなったね」って言われることが増えたってことは、もしかしたら私も今までのお姉さんメンバーと同じように無邪気の道をたどっているんじゃないかって思って、ちょっとうれしいんです,#斎藤飛鳥,#乃木坂46 #名言
うちのメンバーの皆は、自分に対しても人に対しても、すごく優しい人たちの集まりですけど、それでも『私たち、今いい感じだねー』みたいな空気だけは決してつくらない,#斎藤飛鳥,#乃木坂46 #名言
白石が卒業する前は、そんなに変わることなんて無いだろうと思ってたんです。でもやっぱり、変化はあって…,#斎藤飛鳥,#乃木坂46 #名言
乃木坂メンバーはみんなしっかりしているし、白石もどちらかというと、ぐいぐいリーダーシップを取るタイプではなく、彼女の姿勢を見て みんなが自然について行くという感じだったので,#斎藤飛鳥,#乃木坂46 #名言
ずっと１期生の最年少として、お姉さんたちに甘えて１０年やってきたツケというか。「ああ、私これやったことないから、どうやったらいいか分からないかも」って（苦笑）,#斎藤飛鳥,#乃木坂46 #名言
悩みに向き合う自分を認めてあげる。少しずついい大人に近づけたらいいな,#斎藤飛鳥,#乃木坂46 #名言
乃木坂４６に入ってからしばらくは、選抜でも３列目にいることが多かったですし、数年前に初めてセンターを務めましたが、それも遅いほうなんです,#斎藤飛鳥,#乃木坂46 #名言
だから、白石、西野（七瀬）という誰もが認めるエースの横で、「次代エースだね」と言われてもピンと来なかっと思います,#斎藤飛鳥,#乃木坂46 #名言
でも何年もそう言われることが続いて、実際に前に出ることも増えていったけど、急展開すぎて追いつけていなかったと思います。,#斎藤飛鳥,#乃木坂46 #名言
「なんで？なんで、エースって言われるんだろう…。なんで、なんで？」って、ちょっとひねくれた反抗期というか、ハタチ前後は自分でも、ひねくれてたと思います（苦笑）,#斎藤飛鳥,#乃木坂46 #名言
あの時と今では表情が全然違うって、自分でも思います。当時は悩みもめちゃめちゃいっぱいあって、毎日葛藤してて。尖ってたし、子どもでしたね。,#斎藤飛鳥,#乃木坂46 #名言
後輩に教えたいこと、同期と挑戦したいこと、グループで叶えたい夢、不思議と欲が出てきたみたい,#斎藤飛鳥,#乃木坂46 #名言
遠慮しながら、保険をかけながらしゃべるんじゃなくて、勇気を出して力強い言葉を言う。その言葉が有言実行できるよう、みんなで努力すればいい,#桜井玲香,#乃木坂46 #名言
計画することも大事ですけど、とりあえず調べてみるなり、行きたい場所に行ってみるなり、何かしないと何もことが進まないなっていうのはこの仕事を始めてから痛いほど感じてきた,#桜井玲香,#乃木坂46 #名言
「一人でいいや」が「一人じゃ生きていけない」に変わりました。それは自分の中ですごく大きいことです,#桜井玲香,#乃木坂46 #名言
 世の中にもっと興味を持って生きたほうが、人生が豊かになる,#桜井玲香,#乃木坂46 #名言
一歩外の世界に踏み出した瞬間、世の中にはこんなにすごい方がいるのかって思い知るんです,#桜井玲香,#乃木坂46 #名言
ミスをした時に後輩も容赦なくつっこんできます。うちのグループは皆仲が良いので、それすら愛だと思って受け止めています,#桜井玲香,#乃木坂46 #名言
行動することが一番の近道だと思っています,#桜井玲香,#乃木坂46 #名言
行き倒れたってそれで本望だ 立ち止まってるより前へ進め,#錆びたコンパス,#乃木坂46 #歌詞
志半ばに挫折しても 一度くらい夢を見てたほうがましだ,#錆びたコンパス,#乃木坂46 #歌詞
